,bottle,producer,color,shape,age,weight,simple_surface,color_shape
2413,2413,Pietro,green,long,45,,389.6875,green_long
2414,2414,Romeo,green,premium,8,,314.8308,green_premium
2415,2415,Monica,yellow,artistic,38,,126.369,yellow_artistic
2416,2416,Pietro,blue,long,19,,373.29959999999994,blue_long
2417,2417,Pietro,green,long,11,,315.296,green_long
2418,2418,Romeo,green,premium,19,,312.5735,green_premium
2419,2419,Monica,blue,onion,49,,282.17449999999997,blue_onion
2420,2420,Pietro,yellow,long,45,,365.1784,yellow_long
2421,2421,Monica,green,long,50,,439.5114,green_long
2422,2422,Romeo,green,onion,13,,376.57259999999997,green_onion
2423,2423,Romeo,yellow,premium,55,,305.1916,yellow_premium
2424,2424,Monica,yellow,long,41,,475.52520000000004,yellow_long
2425,2425,Pietro,green,long,24,,431.12,green_long
2426,2426,Romeo,green,long,27,,389.20439999999996,green_long
2427,2427,Pietro,blue,long,5,,432.6893999999999,blue_long
2428,2428,Monica,green,onion,59,,362.824,green_onion
2429,2429,Pietro,blue,long,52,,298.9592,blue_long
2430,2430,Monica,green,artistic,19,,229.01500000000001,green_artistic
2431,2431,Monica,green,artistic,47,,75.42720000000001,green_artistic
2432,2432,Pietro,yellow,long,58,,407.01329999999996,yellow_long
2433,2433,Monica,green,premium,36,,313.0962,green_premium
2434,2434,Romeo,green,long,29,,351.8396,green_long
2435,2435,Pietro,green,long,12,,225.46160000000003,green_long
2436,2436,Pietro,green,long,58,,334.1384,green_long
2437,2437,Monica,yellow,long,38,,358.1809,yellow_long
2438,2438,Pietro,green,long,32,,360.33200000000005,green_long
2439,2439,Romeo,green,premium,10,,294.152,green_premium
2440,2440,Pietro,green,long,53,,338.436,green_long
2441,2441,Monica,green,artistic,46,,157.1127,green_artistic
2442,2442,Pietro,yellow,long,17,,345.98889999999994,yellow_long
2443,2443,Romeo,green,premium,37,,298.1418,green_premium
2444,2444,Pietro,blue,long,30,,372.998,blue_long
2445,2445,Pietro,green,onion,26,,363.2216,green_onion
2446,2446,Romeo,green,premium,29,4.385,296.1556,green_premium
2447,2447,Pietro,yellow,long,2,,435.6848,yellow_long
2448,2448,Pietro,green,long,47,,383.86299999999994,green_long
2449,2449,Monica,yellow,long,47,,307.7022,yellow_long
2450,2450,Monica,green,artistic,28,,221.9112,green_artistic
2451,2451,Pietro,green,long,22,,246.29999999999998,green_long
2452,2452,Romeo,green,premium,5,,295.38,green_premium
2453,2453,Romeo,green,premium,55,,298.1844,green_premium
2454,2454,Monica,green,long,41,,309.18580000000003,green_long
2455,2455,Romeo,green,artistic,25,,221.86829999999998,green_artistic
2456,2456,Romeo,blue,long,8,,348.89140000000003,blue_long
2457,2457,Pietro,green,long,7,,363.05620000000005,green_long
2458,2458,Monica,green,long,46,,338.5116,green_long
2459,2459,Monica,yellow,premium,26,,313.04,yellow_premium
2460,2460,Monica,blue,long,11,,397.91249999999997,blue_long
2461,2461,Romeo,yellow,artistic,27,,290.145,yellow_artistic
2462,2462,Romeo,green,long,55,,354.2,green_long
2463,2463,Monica,green,artistic,11,,117.3744,green_artistic
2464,2464,Monica,green,onion,27,,281.40749999999997,green_onion
2465,2465,Pietro,yellow,long,39,,433.3875,yellow_long
2466,2466,Pietro,blue,long,19,,404.8462,blue_long
2467,2467,Pietro,green,long,12,,218.05219999999997,green_long
2468,2468,Monica,green,long,39,,375.0416,green_long
2469,2469,Monica,green,long,5,,354.5124,green_long
2470,2470,Monica,blue,artistic,1,,327.2506,blue_artistic
2471,2471,Pietro,green,long,58,,399.0975,green_long
2472,2472,Pietro,green,long,21,,393.73980000000006,green_long
2473,2473,Pietro,green,long,48,,339.4104,green_long
2474,2474,Romeo,green,premium,41,,312.1514,green_premium
2475,2475,Monica,green,premium,51,,310.23999999999995,green_premium
2476,2476,Monica,green,artistic,57,,141.1267,green_artistic
2477,2477,Pietro,green,long,4,,319.3008,green_long
2478,2478,Monica,green,onion,11,,262.2238,green_onion
2479,2479,Pietro,green,long,15,,295.0064,green_long
2480,2480,Romeo,blue,long,20,,359.1027,blue_long
2481,2481,Monica,green,onion,29,,261.6264,green_onion
2482,2482,Pietro,blue,long,15,,344.505,blue_long
2483,2483,Romeo,green,premium,45,,330.7764,green_premium
2484,2484,Monica,yellow,onion,2,,282.0465,yellow_onion
2485,2485,Pietro,green,long,5,,355.2637,green_long
2486,2486,Monica,green,onion,10,,296.57460000000003,green_onion
2487,2487,Monica,yellow,artistic,4,,244.296,yellow_artistic
2488,2488,Romeo,green,onion,30,,388.451,green_onion
2489,2489,Pietro,green,onion,30,,322.0688,green_onion
2490,2490,Pietro,green,long,17,,345.0228,green_long
2491,2491,Romeo,green,premium,23,,316.2162,green_premium
2492,2492,Pietro,green,onion,50,,280.5806,green_onion
2493,2493,Romeo,green,premium,45,,322.08880000000005,green_premium
2494,2494,Romeo,green,premium,55,,309.9525,green_premium
2495,2495,Pietro,green,long,1,,421.04789999999997,green_long
2496,2496,Pietro,green,long,51,,386.7794,green_long
2497,2497,Pietro,green,onion,30,,234.43200000000002,green_onion
2498,2498,Monica,green,artistic,3,,270.7953,green_artistic
2499,2499,Monica,green,artistic,22,,248.1664,green_artistic
2500,2500,Monica,green,artistic,35,,272.68240000000003,green_artistic
2501,2501,Romeo,green,long,25,,289.299,green_long
2502,2502,Pietro,green,long,53,,374.6288,green_long
2503,2503,Romeo,green,artistic,22,,195.76440000000002,green_artistic
2504,2504,Monica,green,premium,3,,315.8028,green_premium
2505,2505,Romeo,green,premium,56,,300.5415,green_premium
2506,2506,Romeo,green,premium,44,,306.65999999999997,green_premium
2507,2507,Pietro,green,long,48,,293.862,green_long
2508,2508,Romeo,green,long,36,,400.7406,green_long
2509,2509,Romeo,green,premium,28,,330.5582,green_premium
2510,2510,Monica,green,onion,21,,311.1933,green_onion
2511,2511,Monica,blue,long,9,,376.216,blue_long
2512,2512,Romeo,green,premium,23,,309.5246,green_premium
2513,2513,Monica,green,onion,11,,302.60880000000003,green_onion
2514,2514,Pietro,green,long,2,,398.32649999999995,green_long
2515,2515,Romeo,green,artistic,32,,294.62550000000005,green_artistic
2516,2516,Romeo,green,onion,6,,252.69859999999997,green_onion
2517,2517,Pietro,green,onion,26,,221.64600000000002,green_onion
2518,2518,Pietro,green,premium,4,,304.29420000000005,green_premium
2519,2519,Romeo,blue,long,43,,392.1576,blue_long
2520,2520,Pietro,green,long,10,,355.53600000000006,green_long
2521,2521,Monica,blue,premium,55,,304.975,blue_premium
2522,2522,Pietro,green,long,18,,293.9012,green_long
2523,2523,Pietro,blue,long,43,,332.8456,blue_long
2524,2524,Monica,green,onion,46,,233.664,green_onion
2525,2525,Monica,green,artistic,32,,323.8214,green_artistic
2526,2526,Pietro,green,long,15,,328.96520000000004,green_long
2527,2527,Pietro,yellow,long,12,,276.8914,yellow_long
2528,2528,Romeo,green,long,21,,342.7008,green_long
2529,2529,Monica,blue,artistic,45,,183.7,blue_artistic
2530,2530,Monica,yellow,onion,37,,290.07,yellow_onion
2531,2531,Pietro,green,long,27,,405.369,green_long
2532,2532,Romeo,green,premium,51,,277.9989,green_premium
2533,2533,Pietro,green,long,0,,422.33459999999997,green_long
2534,2534,Pietro,green,long,57,,411.8259,green_long
2535,2535,Monica,blue,artistic,19,,215.65169999999998,blue_artistic
2536,2536,Pietro,green,long,11,,337.53310000000005,green_long
2537,2537,Romeo,green,long,24,,429.12,green_long
2538,2538,Pietro,blue,onion,42,,259.29,blue_onion
2539,2539,Romeo,blue,artistic,8,,190.2156,blue_artistic
2540,2540,Monica,green,artistic,32,,221.90480000000002,green_artistic
2541,2541,Romeo,green,premium,44,,313.2,green_premium
2542,2542,Monica,green,artistic,12,,144.01399999999998,green_artistic
2543,2543,Romeo,green,artistic,45,,114.34079999999999,green_artistic
2544,2544,Pietro,blue,long,18,,299.0163,blue_long
2545,2545,Romeo,green,long,51,,378.838,green_long
2546,2546,Pietro,green,long,48,,252.29520000000002,green_long
2547,2547,Pietro,green,onion,35,,247.63969999999998,green_onion
2548,2548,Romeo,green,premium,22,,314.5526,green_premium
2549,2549,Monica,blue,artistic,5,,200.2312,blue_artistic
2550,2550,Pietro,green,long,14,,422.8144,green_long
2551,2551,Pietro,blue,premium,52,,311.97700000000003,blue_premium
2552,2552,Pietro,green,long,5,,360.065,green_long
2553,2553,Monica,green,premium,29,,281.0976,green_premium
2554,2554,Pietro,yellow,long,32,,394.6525,yellow_long
2555,2555,Romeo,green,premium,22,,303.6205,green_premium
2556,2556,Monica,green,long,37,,292.16450000000003,green_long
2557,2557,Monica,green,long,23,,381.6587999999999,green_long
2558,2558,Monica,green,artistic,8,,286.4862,green_artistic
2559,2559,Pietro,green,long,0,,375.0138,green_long
2560,2560,Romeo,green,long,57,,287.24399999999997,green_long
2561,2561,Romeo,green,premium,17,,348.2292,green_premium
2562,2562,Pietro,green,onion,26,,260.7804,green_onion
2563,2563,Romeo,green,long,26,,299.88399999999996,green_long
2564,2564,Romeo,blue,long,0,,311.998,blue_long
2565,2565,Monica,green,premium,45,,345.44509999999997,green_premium
2566,2566,Monica,blue,long,57,,320.1425,blue_long
2567,2567,Pietro,green,long,21,,372.1183,green_long
2568,2568,Romeo,green,onion,35,,375.3248,green_onion
2569,2569,Pietro,green,long,44,,305.11600000000004,green_long
2570,2570,Pietro,blue,long,5,,338.2043,blue_long
2571,2571,Monica,green,onion,21,,280.8,green_onion
2572,2572,Pietro,green,onion,10,,283.3028,green_onion
2573,2573,Monica,blue,long,51,,371.48,blue_long
2574,2574,Romeo,blue,premium,32,,298.4359,blue_premium
2575,2575,Pietro,blue,long,53,,332.84680000000003,blue_long
2576,2576,Monica,green,artistic,27,,179.6084,green_artistic
2577,2577,Romeo,blue,premium,55,,299.7954,blue_premium
2578,2578,Pietro,green,long,38,,380.3136,green_long
2579,2579,Monica,green,artistic,35,,235.1958,green_artistic
2580,2580,Pietro,green,onion,56,,303.2403,green_onion
2581,2581,Monica,green,artistic,1,,207.59400000000002,green_artistic
2582,2582,Romeo,blue,long,40,,366.79499999999996,blue_long
2583,2583,Pietro,yellow,long,45,,344.95500000000004,yellow_long
2584,2584,Romeo,green,long,50,,384.67799999999994,green_long
2585,2585,Monica,green,artistic,57,,218.12400000000002,green_artistic
2586,2586,Pietro,yellow,long,3,,348.1524,yellow_long
2587,2587,Pietro,yellow,long,4,,398.055,yellow_long
2588,2588,Romeo,green,artistic,36,,192.6296,green_artistic
2589,2589,Monica,green,artistic,42,,295.554,green_artistic
2590,2590,Romeo,green,long,4,,375.39000000000004,green_long
2591,2591,Romeo,green,long,13,,414.4784,green_long
2592,2592,Pietro,green,long,12,,366.6525,green_long
2593,2593,Monica,green,artistic,27,,154.9562,green_artistic
2594,2594,Monica,green,long,28,,414.37440000000004,green_long
2595,2595,Pietro,green,long,1,,397.37660000000005,green_long
2596,2596,Romeo,yellow,long,46,,373.2311,yellow_long
2597,2597,Pietro,blue,long,36,,383.311,blue_long
2598,2598,Pietro,green,long,6,,418.644,green_long
2599,2599,Monica,green,artistic,18,,269.0968,green_artistic
2600,2600,Pietro,green,long,49,,362.5743,green_long
2601,2601,Pietro,green,premium,52,,312.741,green_premium
2602,2602,Pietro,blue,long,48,,384.7452,blue_long
2603,2603,Monica,green,artistic,27,,131.88129999999998,green_artistic
2604,2604,Romeo,green,long,38,,374.9476,green_long
2605,2605,Pietro,yellow,onion,25,,283.6161,yellow_onion
2606,2606,Monica,green,onion,17,,256.17130000000003,green_onion
2607,2607,Pietro,yellow,long,52,,292.88050000000004,yellow_long
2608,2608,Romeo,green,premium,29,,305.1456,green_premium
2609,2609,Romeo,green,long,54,,281.1016,green_long
2610,2610,Romeo,green,premium,25,,286.35749999999996,green_premium
2611,2611,Romeo,green,long,5,,372.1545,green_long
2612,2612,Pietro,blue,long,29,,386.50800000000004,blue_long
2613,2613,Pietro,yellow,long,27,,380.8608,yellow_long
2614,2614,Monica,green,onion,59,,324.24,green_onion
2615,2615,Pietro,green,premium,40,,329.54640000000006,green_premium
2616,2616,Romeo,green,premium,24,,310.38419999999996,green_premium
2617,2617,Romeo,green,long,13,,383.12149999999997,green_long
2618,2618,Romeo,green,premium,34,,295.836,green_premium
2619,2619,Pietro,green,long,24,,276.7122,green_long
2620,2620,Romeo,green,premium,11,,317.955,green_premium
2621,2621,Romeo,green,premium,9,,315.2272,green_premium
2622,2622,Pietro,green,long,20,,437.6232,green_long
2623,2623,Pietro,blue,long,18,,287.0388,blue_long
2624,2624,Romeo,blue,premium,32,,306.9888,blue_premium
2625,2625,Monica,green,long,28,,273.6279,green_long
2626,2626,Pietro,green,long,3,,372.1872,green_long
2627,2627,Pietro,blue,long,15,,364.2229,blue_long
2628,2628,Monica,blue,long,36,,284.21400000000006,blue_long
2629,2629,Pietro,green,long,3,4.24,372.03599999999994,green_long
2630,2630,Pietro,green,long,50,,269.2508,green_long
2631,2631,Pietro,blue,long,41,,374.34799999999996,blue_long
2632,2632,Monica,green,artistic,49,,93.03040000000001,green_artistic
2633,2633,Pietro,green,long,34,,393.3015,green_long
2634,2634,Monica,green,premium,51,,317.5326,green_premium
2635,2635,Pietro,green,onion,48,,308.85749999999996,green_onion
2636,2636,Romeo,green,premium,42,,294.4542,green_premium
2637,2637,Pietro,green,long,21,,283.86449999999996,green_long
2638,2638,Romeo,green,long,27,,344.9793,green_long
2639,2639,Monica,green,long,40,,367.74399999999997,green_long
2640,2640,Pietro,green,premium,22,,302.464,green_premium
2641,2641,Romeo,green,artistic,23,,186.80579999999998,green_artistic
2642,2642,Romeo,green,onion,33,,275.0072,green_onion
2643,2643,Romeo,yellow,premium,17,,292.7511,yellow_premium
2644,2644,Monica,green,premium,26,,302.603,green_premium
2645,2645,Pietro,green,long,40,,341.8052,green_long
2646,2646,Monica,green,premium,10,,307.2264,green_premium
2647,2647,Pietro,green,long,16,,283.77660000000003,green_long
2648,2648,Pietro,blue,long,43,,383.019,blue_long
2649,2649,Pietro,yellow,long,56,,278.8275,yellow_long
2650,2650,Pietro,green,long,23,,368.0622,green_long
2651,2651,Romeo,green,long,42,,298.094,green_long
2652,2652,Pietro,green,long,14,,323.368,green_long
2653,2653,Romeo,yellow,premium,13,,300.8796,yellow_premium
2654,2654,Romeo,green,premium,29,,306.24479999999994,green_premium
2655,2655,Romeo,green,long,15,,399.7631999999999,green_long
2656,2656,Pietro,green,long,37,,375.5816,green_long
2657,2657,Pietro,yellow,long,10,,313.0161,yellow_long
2658,2658,Pietro,green,long,0,,291.0131,green_long
2659,2659,Monica,blue,artistic,14,,162.02159999999998,blue_artistic
2660,2660,Pietro,green,onion,45,,318.3026,green_onion
2661,2661,Romeo,blue,premium,18,,329.745,blue_premium
2662,2662,Pietro,green,long,47,,416.30400000000003,green_long
2663,2663,Romeo,green,premium,4,,302.52689999999996,green_premium
2664,2664,Pietro,yellow,long,6,,368.5186,yellow_long
2665,2665,Pietro,yellow,premium,46,,278.06219999999996,yellow_premium
2666,2666,Pietro,green,long,24,,345.5998,green_long
2667,2667,Monica,green,onion,6,,327.80400000000003,green_onion
2668,2668,Romeo,green,premium,25,5.21,298.5702,green_premium
2669,2669,Monica,green,premium,40,,340.7384,green_premium
2670,2670,Romeo,green,premium,46,,302.359,green_premium
2671,2671,Pietro,yellow,long,57,,376.62659999999994,yellow_long
2672,2672,Monica,green,premium,3,,315.99629999999996,green_premium
2673,2673,Romeo,green,artistic,3,,207.33110000000002,green_artistic
2674,2674,Monica,green,long,13,,403.89660000000003,green_long
2675,2675,Monica,green,long,5,,446.64480000000003,green_long
2676,2676,Romeo,yellow,long,42,,376.2712,yellow_long
2677,2677,Monica,green,onion,52,,295.2828,green_onion
2678,2678,Pietro,green,long,44,,318.39480000000003,green_long
2679,2679,Monica,green,long,42,,344.4636,green_long
2680,2680,Pietro,blue,long,11,,376.8864,blue_long
2681,2681,Pietro,green,long,32,,354.0024,green_long
2682,2682,Pietro,blue,long,45,,389.88219999999995,blue_long
2683,2683,Pietro,green,long,51,,381.0387,green_long
2684,2684,Romeo,green,premium,40,,323.818,green_premium
2685,2685,Monica,green,artistic,4,,122.108,green_artistic
2686,2686,Monica,green,artistic,18,,243.8628,green_artistic
2687,2687,Monica,green,artistic,49,,141.0751,green_artistic
2688,2688,Pietro,green,long,41,,400.2542,green_long
2689,2689,Pietro,green,long,16,,324.658,green_long
2690,2690,Monica,green,artistic,52,,138.7778,green_artistic
2691,2691,Monica,green,onion,17,,357.7639,green_onion
2692,2692,Pietro,green,long,40,,331.315,green_long
2693,2693,Romeo,green,premium,35,,291.718,green_premium
2694,2694,Pietro,green,long,57,,338.865,green_long
2695,2695,Monica,blue,long,3,,377.8381,blue_long
2696,2696,Pietro,blue,long,0,,321.468,blue_long
2697,2697,Monica,green,artistic,36,,392.2917,green_artistic
2698,2698,Monica,green,premium,13,,302.7636,green_premium
2699,2699,Pietro,green,long,17,,380.8104,green_long
2700,2700,Romeo,green,onion,51,,264.9264,green_onion
2701,2701,Monica,green,artistic,10,,311.5228,green_artistic
2702,2702,Monica,green,onion,36,,295.4702,green_onion
2703,2703,Pietro,green,onion,47,,232.9448,green_onion
2704,2704,Romeo,green,long,3,,412.776,green_long
2705,2705,Monica,green,artistic,40,,236.56579999999997,green_artistic
2706,2706,Monica,green,artistic,27,,153.63139999999999,green_artistic
2707,2707,Pietro,yellow,long,42,,396.53150000000005,yellow_long
2708,2708,Romeo,blue,premium,29,,295.5782,blue_premium
2709,2709,Pietro,green,long,15,,374.74160000000006,green_long
2710,2710,Monica,green,artistic,55,,279.825,green_artistic
2711,2711,Monica,yellow,artistic,22,,207.5764,yellow_artistic
2712,2712,Monica,blue,premium,12,,309.833,blue_premium
2713,2713,Monica,green,onion,52,,269.61319999999995,green_onion
2714,2714,Monica,green,artistic,27,,322.0598,green_artistic
2715,2715,Pietro,green,premium,18,,295.9959,green_premium
2716,2716,Pietro,yellow,onion,11,,366.7512,yellow_onion
2717,2717,Pietro,green,long,19,,318.3285,green_long
2718,2718,Pietro,blue,onion,48,,269.757,blue_onion
2719,2719,Romeo,blue,long,12,,372.8776,blue_long
2720,2720,Romeo,green,long,9,,366.0525,green_long
2721,2721,Pietro,green,long,25,,364.518,green_long
2722,2722,Monica,green,onion,3,,257.4005,green_onion
2723,2723,Pietro,green,long,57,,268.9852,green_long
2724,2724,Pietro,green,long,19,,350.76,green_long
2725,2725,Pietro,yellow,onion,6,,282.2834,yellow_onion
2726,2726,Monica,blue,artistic,38,,494.7,blue_artistic
2727,2727,Pietro,green,long,48,,307.3347,green_long
2728,2728,Romeo,green,long,23,,375.76500000000004,green_long
2729,2729,Monica,green,premium,36,,305.4411,green_premium
2730,2730,Romeo,green,long,5,,337.2795,green_long
2731,2731,Monica,green,premium,13,,286.3048,green_premium
2732,2732,Monica,green,premium,30,,306.3281,green_premium
2733,2733,Pietro,green,long,36,,299.98710000000005,green_long
2734,2734,Romeo,green,artistic,59,,383.96799999999996,green_artistic
2735,2735,Pietro,yellow,onion,42,,306.3114,yellow_onion
2736,2736,Pietro,green,long,9,,292.0416,green_long
2737,2737,Romeo,green,long,30,,365.066,green_long
2738,2738,Pietro,green,long,28,,368.68219999999997,green_long
2739,2739,Pietro,green,long,34,,364.6406,green_long
2740,2740,Pietro,green,onion,44,,375.79359999999997,green_onion
2741,2741,Monica,green,long,40,,370.9638,green_long
2742,2742,Romeo,green,premium,49,,339.29699999999997,green_premium
2743,2743,Romeo,blue,premium,33,,304.7362,blue_premium
2744,2744,Monica,green,artistic,32,,290.8785,green_artistic
2745,2745,Monica,green,artistic,18,,148.07519999999997,green_artistic
2746,2746,Romeo,green,premium,55,,330.4808,green_premium
2747,2747,Monica,blue,long,7,,387.01649999999995,blue_long
2748,2748,Pietro,green,long,34,,323.9784,green_long
2749,2749,Pietro,blue,long,40,,425.03360000000004,blue_long
2750,2750,Romeo,green,premium,48,,332.3385,green_premium
2751,2751,Monica,blue,artistic,3,,128.876,blue_artistic
2752,2752,Monica,blue,long,13,,396.875,blue_long
2753,2753,Monica,green,onion,51,,400.4537,green_onion
2754,2754,Pietro,green,long,19,,391.6111,green_long
2755,2755,Monica,green,artistic,21,,91.405,green_artistic
2756,2756,Romeo,blue,premium,22,,327.2256,blue_premium
2757,2757,Monica,yellow,artistic,49,,134.9418,yellow_artistic
2758,2758,Pietro,blue,long,14,,274.79859999999996,blue_long
2759,2759,Pietro,green,long,4,,357.2454,green_long
2760,2760,Romeo,yellow,long,35,,464.36,yellow_long
2761,2761,Pietro,green,long,43,,343.0565,green_long
2762,2762,Monica,green,long,31,,429.8546,green_long
2763,2763,Romeo,blue,premium,53,,288.7706,blue_premium
2764,2764,Romeo,green,premium,56,,311.52959999999996,green_premium
2765,2765,Pietro,blue,long,31,,281.26,blue_long
2766,2766,Pietro,green,long,31,,340.954,green_long
2767,2767,Romeo,green,long,58,,394.21799999999996,green_long
2768,2768,Monica,green,artistic,50,,218.88900000000004,green_artistic
2769,2769,Pietro,green,long,24,,357.25,green_long
2770,2770,Pietro,green,long,23,,359.0629,green_long
2771,2771,Pietro,yellow,long,44,,348.21599999999995,yellow_long
2772,2772,Pietro,green,long,0,,336.4251,green_long
2773,2773,Monica,green,artistic,50,,96.186,green_artistic
2774,2774,Romeo,blue,premium,40,,292.4606,blue_premium
2775,2775,Monica,green,onion,25,,302.55539999999996,green_onion
2776,2776,Pietro,blue,long,39,,381.824,blue_long
2777,2777,Pietro,green,long,42,,355.5411,green_long
2778,2778,Romeo,green,artistic,23,,126.0075,green_artistic
2779,2779,Monica,green,artistic,16,,257.2182,green_artistic
2780,2780,Romeo,green,premium,3,,314.928,green_premium
2781,2781,Pietro,blue,long,16,,283.5741,blue_long
2782,2782,Pietro,yellow,long,7,,422.0832,yellow_long
2783,2783,Romeo,green,premium,13,,334.248,green_premium
2784,2784,Pietro,green,long,53,,362.4887,green_long
2785,2785,Pietro,blue,long,58,,305.9186,blue_long
2786,2786,Pietro,green,long,47,,344.3538,green_long
2787,2787,Romeo,green,premium,57,,318.1356,green_premium
2788,2788,Pietro,green,onion,21,,351.7505,green_onion
2789,2789,Pietro,green,long,27,,404.3354,green_long
2790,2790,Pietro,green,onion,15,,286.484,green_onion
2791,2791,Monica,green,artistic,0,,352.2195,green_artistic
2792,2792,Monica,yellow,artistic,42,,254.08200000000002,yellow_artistic
2793,2793,Pietro,green,long,57,,363.375,green_long
2794,2794,Monica,green,long,50,,339.66479999999996,green_long
2795,2795,Romeo,blue,premium,21,,316.8234,blue_premium
2796,2796,Pietro,green,long,35,,360.8325,green_long
2797,2797,Pietro,green,long,5,,335.41429999999997,green_long
2798,2798,Monica,green,artistic,5,,308.64599999999996,green_artistic
2799,2799,Monica,green,long,12,,467.9675,green_long
2800,2800,Romeo,yellow,premium,38,4.5075,302.5548,yellow_premium
2801,2801,Romeo,yellow,premium,22,,307.9576,yellow_premium
2802,2802,Monica,green,artistic,40,,117.5988,green_artistic
2803,2803,Pietro,yellow,long,12,,298.848,yellow_long
2804,2804,Pietro,green,long,29,,332.46840000000003,green_long
2805,2805,Monica,blue,long,0,,405.26919999999996,blue_long
2806,2806,Pietro,green,onion,24,,333.645,green_onion
2807,2807,Monica,green,artistic,17,,174.529,green_artistic
2808,2808,Pietro,blue,onion,47,,319.455,blue_onion
2809,2809,Pietro,green,long,28,,380.0973,green_long
2810,2810,Romeo,green,premium,41,,307.914,green_premium
2811,2811,Romeo,green,premium,55,,310.2836,green_premium
2812,2812,Romeo,yellow,premium,46,,296.60499999999996,yellow_premium
2813,2813,Pietro,green,long,16,,429.598,green_long
2814,2814,Pietro,green,onion,58,,288.486,green_onion
2815,2815,Monica,yellow,premium,38,,306.20799999999997,yellow_premium
2816,2816,Pietro,green,long,8,,360.9504,green_long
2817,2817,Monica,green,artistic,10,,188.52210000000002,green_artistic
2818,2818,Pietro,green,long,10,,315.28439999999995,green_long
2819,2819,Romeo,green,premium,58,,310.2043,green_premium
2820,2820,Romeo,yellow,premium,58,,317.9062,yellow_premium
2821,2821,Romeo,green,long,31,,388.00719999999995,green_long
2822,2822,Pietro,yellow,premium,20,,303.31649999999996,yellow_premium
2823,2823,Pietro,green,long,7,,341.7593,green_long
2824,2824,Pietro,green,premium,7,,312.89200000000005,green_premium
2825,2825,Monica,blue,long,39,,334.899,blue_long
2826,2826,Monica,green,premium,20,,311.8065,green_premium
2827,2827,Monica,green,artistic,35,,171.153,green_artistic
2828,2828,Romeo,green,long,1,,364.7373,green_long
2829,2829,Pietro,green,onion,4,,220.4204,green_onion
2830,2830,Romeo,green,premium,35,,319.87199999999996,green_premium
2831,2831,Romeo,green,premium,49,,319.15299999999996,green_premium
2832,2832,Monica,green,artistic,45,,367.90000000000003,green_artistic
2833,2833,Monica,yellow,premium,29,,310.60080000000005,yellow_premium
2834,2834,Pietro,blue,long,10,,350.973,blue_long
2835,2835,Romeo,blue,long,58,,302.58799999999997,blue_long
2836,2836,Pietro,green,onion,55,,265.84250000000003,green_onion
2837,2837,Romeo,green,premium,46,,301.0348,green_premium
2838,2838,Monica,green,onion,28,,343.2784,green_onion
2839,2839,Romeo,green,premium,16,,314.7942,green_premium
2840,2840,Pietro,green,long,29,,425.37919999999997,green_long
2841,2841,Pietro,green,long,59,,317.6838,green_long
2842,2842,Romeo,green,premium,58,,296.037,green_premium
2843,2843,Pietro,blue,long,39,,384.384,blue_long
2844,2844,Pietro,blue,long,46,,366.928,blue_long
2845,2845,Pietro,green,long,14,,290.6823,green_long
2846,2846,Romeo,green,onion,40,,333.5463,green_onion
2847,2847,Romeo,blue,premium,45,,302.24640000000005,blue_premium
2848,2848,Pietro,green,onion,16,,284.9472,green_onion
2849,2849,Pietro,blue,long,37,,392.049,blue_long
2850,2850,Romeo,blue,premium,42,,298.11359999999996,blue_premium
2851,2851,Romeo,blue,premium,1,,332.778,blue_premium
2852,2852,Romeo,blue,long,24,,315.3576,blue_long
2853,2853,Pietro,green,long,24,,329.8575,green_long
2854,2854,Pietro,green,long,15,,366.795,green_long
2855,2855,Pietro,green,onion,51,,273.589,green_onion
2856,2856,Pietro,green,long,25,,347.424,green_long
2857,2857,Pietro,green,long,56,,344.6286,green_long
2858,2858,Romeo,green,long,42,,395.94149999999996,green_long
2859,2859,Pietro,green,long,8,,375.85800000000006,green_long
2860,2860,Monica,green,premium,52,,295.04320000000007,green_premium
2861,2861,Romeo,blue,premium,51,,312.2202,blue_premium
2862,2862,Monica,green,artistic,16,,180.20000000000002,green_artistic
2863,2863,Monica,blue,artistic,43,,227.05200000000002,blue_artistic
2864,2864,Romeo,blue,long,8,,374.897,blue_long
2865,2865,Monica,blue,long,39,,384.6816,blue_long
2866,2866,Romeo,green,onion,19,,386.66599999999994,green_onion
2867,2867,Romeo,green,long,10,,309.86800000000005,green_long
2868,2868,Pietro,yellow,long,1,,366.534,yellow_long
2869,2869,Monica,green,artistic,52,,144.529,green_artistic
2870,2870,Monica,green,long,30,,414.904,green_long
2871,2871,Pietro,green,long,24,,446.82120000000003,green_long
2872,2872,Monica,green,premium,53,,304.8584,green_premium
2873,2873,Pietro,green,long,8,,302.8992,green_long
2874,2874,Pietro,green,long,52,,322.8583,green_long
2875,2875,Romeo,blue,premium,27,,291.7681,blue_premium
2876,2876,Pietro,green,long,29,,338.4612,green_long
2877,2877,Monica,green,artistic,42,,272.0742,green_artistic
2878,2878,Pietro,blue,onion,33,,418.53889999999996,blue_onion
2879,2879,Romeo,green,premium,27,,320.3262,green_premium
2880,2880,Pietro,green,onion,1,,281.9178,green_onion
2881,2881,Pietro,green,onion,53,,277.2328,green_onion
2882,2882,Pietro,green,onion,58,,270.6797,green_onion
2883,2883,Monica,green,artistic,20,,122.275,green_artistic
2884,2884,Monica,green,artistic,44,,257.6175,green_artistic
