,bottle,producer,color,shape,width,height,age
2930,2930,Monica,blue,long,10.77,32.07,40
2931,2931,Pietro,green,long,12.33,26.27,41
2932,2932,Romeo,green,premium,14.34,22.34,17
2933,2933,Romeo,yellow,premium,14.02,22.22,23
2934,2934,Romeo,green,premium,14.0,21.75,56
2935,2935,Romeo,green,long,12.2,26.96,27
2936,2936,Romeo,green,premium,14.34,21.94,30
2937,2937,Romeo,green,premium,13.08,22.17,17
2938,2938,Romeo,yellow,long,13.56,29.55,54
2939,2939,Monica,green,onion,19.72,12.42,50
2940,2940,Romeo,green,long,13.54,31.07,44
2941,2941,Romeo,green,long,13.03,26.85,43
2942,2942,Pietro,blue,long,13.52,27.64,56
2943,2943,Romeo,green,premium,12.56,22.74,40
2944,2944,Pietro,green,long,12.27,28.37,47
2945,2945,Pietro,yellow,onion,21.93,14.02,1
2946,2946,Pietro,blue,long,13.49,31.29,0
2947,2947,Monica,green,premium,13.67,21.8,9
2948,2948,Pietro,green,long,10.74,27.88,33
2949,2949,Pietro,green,long,10.1,30.82,53
2950,2950,Romeo,blue,premium,13.92,21.78,7
2951,2951,Romeo,green,premium,14.03,22.19,21
2952,2952,Monica,green,long,10.55,29.27,40
2953,2953,Pietro,green,onion,20.82,16.91,41
2954,2954,Monica,green,artistic,11.85,25.82,36
2955,2955,Monica,yellow,onion,22.31,13.62,52
2956,2956,Monica,green,premium,14.35,22.61,29
2957,2957,Pietro,green,long,11.76,29.63,20
2958,2958,Pietro,green,long,10.84,34.93,11
2959,2959,Romeo,green,premium,14.24,22.27,38
2960,2960,Pietro,blue,long,10.84,25.96,16
2961,2961,Romeo,green,artistic,9.98,16.45,27
2962,2962,Romeo,blue,onion,19.88,17.17,46
2963,2963,Pietro,yellow,onion,21.97,15.2,31
2964,2964,Romeo,green,long,12.7,29.86,41
2965,2965,Pietro,blue,long,11.67,34.76,53
2966,2966,Pietro,green,long,13.27,28.03,52
2967,2967,Romeo,green,artistic,10.2,13.51,4
2968,2968,Monica,blue,artistic,15.91,23.29,58
2969,2969,Pietro,green,long,11.29,31.2,58
2970,2970,Monica,yellow,onion,18.52,14.1,25
2971,2971,Romeo,yellow,premium,13.55,21.56,27
2972,2972,Pietro,green,long,10.55,30.89,44
2973,2973,Romeo,green,premium,13.89,21.11,37
2974,2974,Pietro,green,long,11.84,30.32,16
2975,2975,Monica,green,artistic,10.85,18.88,56
2976,2976,Pietro,green,onion,22.92,12.32,46
2977,2977,Monica,blue,onion,17.57,15.05,52
2978,2978,Pietro,green,long,10.89,31.29,9
2979,2979,Pietro,yellow,long,11.95,33.68,22
2980,2980,Monica,green,long,11.38,34.22,18
2981,2981,Monica,green,premium,14.65,21.87,45
2982,2982,Monica,blue,artistic,6.65,21.59,0
2983,2983,Monica,green,onion,23.41,15.03,9
2984,2984,Monica,blue,artistic,19.1,25.5,10
2985,2985,Pietro,green,long,11.47,29.98,49
2986,2986,Pietro,green,long,11.48,26.8,15
2987,2987,Romeo,green,premium,14.85,21.13,19
2988,2988,Romeo,blue,artistic,17.08,19.75,45
2989,2989,Monica,yellow,long,11.97,26.36,51
2990,2990,Pietro,green,long,15.38,29.09,47
2991,2991,Pietro,green,long,11.74,29.25,38
2992,2992,Monica,green,artistic,6.22,23.27,53
2993,2993,Monica,blue,artistic,11.55,29.47,40
2994,2994,Monica,green,artistic,11.74,16.02,13
2995,2995,Romeo,green,premium,13.79,21.91,57
2996,2996,Pietro,green,premium,13.61,21.33,25
2997,2997,Romeo,green,long,12.26,30.57,50
2998,2998,Monica,green,premium,14.03,21.32,23
2999,2999,Pietro,blue,premium,13.48,22.05,53
3000,3000,Pietro,yellow,long,12.56,28.6,42
3001,3001,Pietro,green,long,13.02,34.92,46
3002,3002,Romeo,green,premium,13.69,22.19,28
3003,3003,Monica,green,onion,18.87,18.29,21
3004,3004,Pietro,yellow,long,11.34,28.21,18
3005,3005,Pietro,green,long,12.87,34.3,34
3006,3006,Monica,green,artistic,18.46,19.25,10
3007,3007,Pietro,blue,long,12.13,31.19,59
3008,3008,Romeo,green,premium,14.21,23.45,56
3009,3009,Pietro,green,long,10.13,30.94,32
3010,3010,Pietro,green,long,12.36,27.81,0
3011,3011,Pietro,green,long,12.83,29.82,44
3012,3012,Pietro,yellow,long,12.39,31.84,23
3013,3013,Pietro,green,onion,19.56,17.15,56
3014,3014,Monica,green,premium,14.28,22.37,22
3015,3015,Pietro,green,long,14.1,32.65,44
3016,3016,Romeo,green,long,11.82,32.34,55
3017,3017,Pietro,green,long,12.57,21.56,37
3018,3018,Monica,blue,onion,19.51,11.5,2
3019,3019,Pietro,yellow,long,11.09,33.63,22
3020,3020,Pietro,green,long,12.18,29.82,52
3021,3021,Pietro,blue,long,10.81,33.18,37
3022,3022,Monica,blue,long,14.03,31.84,10
3023,3023,Monica,green,premium,14.35,22.47,49
3024,3024,Romeo,blue,premium,13.25,22.87,47
3025,3025,Pietro,green,long,12.7,26.26,13
3026,3026,Pietro,green,premium,13.79,21.47,0
3027,3027,Romeo,blue,long,12.79,28.04,12
3028,3028,Monica,blue,premium,14.8,22.38,45
3029,3029,Monica,green,artistic,12.75,25.01,51
3030,3030,Pietro,green,long,13.35,24.75,51
3031,3031,Romeo,green,premium,13.5,21.74,52
3032,3032,Monica,green,onion,18.74,17.0,29
3033,3033,Romeo,green,premium,14.19,22.54,34
3034,3034,Pietro,blue,long,10.75,36.0,7
3035,3035,Monica,green,onion,19.6,13.71,48
3036,3036,Romeo,blue,premium,13.29,21.99,15
3037,3037,Pietro,yellow,onion,18.98,16.01,8
3038,3038,Pietro,green,long,10.84,28.33,15
3039,3039,Romeo,yellow,premium,13.73,21.37,51
3040,3040,Monica,green,artistic,7.95,12.13,20
3041,3041,Pietro,green,onion,22.05,16.43,59
3042,3042,Pietro,green,long,11.89,31.64,58
3043,3043,Pietro,green,long,13.34,29.82,37
3044,3044,Monica,green,premium,13.8,21.85,9
3045,3045,Romeo,yellow,premium,14.7,21.44,18
3046,3046,Pietro,green,long,9.78,30.86,36
3047,3047,Pietro,green,long,13.22,31.43,36
3048,3048,Pietro,green,long,13.53,31.26,33
3049,3049,Monica,green,artistic,17.33,23.77,37
3050,3050,Pietro,green,long,12.44,29.66,48
3051,3051,Monica,green,onion,21.78,14.34,33
3052,3052,Pietro,green,long,11.83,32.08,28
3053,3053,Pietro,green,long,10.94,21.98,57
3054,3054,Monica,green,long,12.4,31.73,43
3055,3055,Pietro,green,premium,13.65,21.81,5
3056,3056,Romeo,green,long,10.57,31.83,27
3057,3057,Monica,green,long,11.84,30.53,27
3058,3058,Monica,blue,long,11.0,32.02,59
3059,3059,Pietro,blue,long,13.58,32.51,51
3060,3060,Pietro,green,long,12.2,30.73,56
3061,3061,Monica,green,artistic,12.68,28.9,23
3062,3062,Romeo,blue,long,11.59,32.54,58
3063,3063,Pietro,yellow,long,11.64,32.48,17
3064,3064,Monica,green,artistic,11.28,17.58,2
3065,3065,Monica,green,premium,14.09,21.91,13
3066,3066,Pietro,green,long,10.68,33.24,8
3067,3067,Romeo,blue,artistic,11.12,16.29,4
3068,3068,Monica,green,onion,20.41,17.51,48
3069,3069,Pietro,green,onion,17.65,14.65,49
3070,3070,Pietro,blue,long,13.0,36.55,22
3071,3071,Pietro,blue,long,11.58,29.82,6
3072,3072,Monica,green,artistic,14.22,21.75,30
3073,3073,Pietro,green,long,11.16,23.14,30
3074,3074,Monica,green,onion,20.1,14.16,23
3075,3075,Monica,green,long,11.58,25.47,50
3076,3076,Romeo,green,long,10.01,28.78,2
3077,3077,Romeo,green,premium,13.81,21.92,37
3078,3078,Monica,green,onion,20.57,14.99,57
3079,3079,Romeo,yellow,premium,14.37,22.13,16
3080,3080,Romeo,green,premium,14.19,22.07,0
3081,3081,Romeo,yellow,premium,14.23,22.12,37
3082,3082,Monica,green,premium,14.66,22.04,4
3083,3083,Pietro,green,long,13.56,30.76,1
3084,3084,Romeo,green,long,11.79,28.58,13
3085,3085,Pietro,green,long,11.03,24.23,6
3086,3086,Pietro,green,long,12.06,28.95,8
3087,3087,Pietro,green,premium,13.9,21.28,10
3088,3088,Pietro,blue,long,11.14,28.3,7
3089,3089,Pietro,blue,onion,21.12,16.65,3
3090,3090,Romeo,green,long,12.67,29.78,58
3091,3091,Pietro,green,long,11.15,25.58,51
3092,3092,Pietro,green,long,11.58,23.54,37
3093,3093,Romeo,blue,premium,13.5,21.8,38
3094,3094,Pietro,blue,onion,20.2,12.02,36
3095,3095,Pietro,green,onion,21.96,15.16,26
3096,3096,Romeo,green,artistic,11.22,11.89,9
3097,3097,Romeo,blue,premium,13.6,21.0,39
3098,3098,Romeo,green,premium,13.92,23.04,8
3099,3099,Pietro,green,long,14.23,31.03,2
3100,3100,Monica,green,artistic,11.74,5.66,49
3101,3101,Romeo,green,premium,13.7,21.25,49
3102,3102,Monica,green,premium,14.54,21.91,10
3103,3103,Romeo,green,premium,14.35,22.14,56
3104,3104,Romeo,green,long,10.97,29.52,37
3105,3105,Monica,green,onion,20.35,13.13,19
3106,3106,Pietro,yellow,long,10.6,28.33,4
3107,3107,Romeo,blue,premium,13.05,22.12,33
3108,3108,Pietro,green,long,10.49,30.58,8
3109,3109,Monica,yellow,premium,13.81,21.79,53
3110,3110,Pietro,green,onion,20.48,16.56,58
3111,3111,Monica,green,onion,21.99,18.89,11
3112,3112,Monica,green,artistic,10.83,24.71,17
3113,3113,Romeo,green,premium,13.47,21.35,26
3114,3114,Romeo,green,premium,13.99,22.05,2
3115,3115,Pietro,yellow,long,12.33,30.9,22
3116,3116,Monica,green,premium,14.56,21.94,17
3117,3117,Monica,green,premium,13.1,22.08,38
3118,3118,Romeo,green,artistic,9.41,22.75,30
3119,3119,Monica,green,long,13.88,28.0,34
3120,3120,Pietro,blue,long,11.72,30.39,11
3121,3121,Romeo,green,premium,13.07,22.48,32
3122,3122,Romeo,green,premium,14.7,22.98,40
3123,3123,Pietro,blue,long,12.43,30.0,58
3124,3124,Pietro,green,onion,20.82,14.74,43
3125,3125,Pietro,blue,long,11.06,22.41,54
3126,3126,Pietro,green,long,9.06,23.64,5
3127,3127,Pietro,green,long,10.06,27.97,55
3128,3128,Romeo,green,onion,20.74,13.41,37
3129,3129,Monica,blue,artistic,9.0,22.24,27
3130,3130,Pietro,green,long,11.17,29.68,20
3131,3131,Romeo,green,onion,16.87,13.58,40
3132,3132,Romeo,yellow,premium,13.96,22.91,20
3133,3133,Romeo,green,artistic,15.58,19.41,9
3134,3134,Pietro,green,long,11.9,31.22,26
3135,3135,Romeo,green,premium,14.13,21.41,13
3136,3136,Pietro,blue,long,12.13,32.38,44
3137,3137,Romeo,green,premium,13.95,22.61,59
3138,3138,Romeo,green,artistic,10.85,12.81,30
3139,3139,Romeo,green,long,13.39,32.9,41
3140,3140,Pietro,green,long,10.31,29.48,57
3141,3141,Romeo,green,premium,14.11,21.98,3
3142,3142,Pietro,blue,long,11.93,28.46,17
3143,3143,Monica,green,onion,21.13,14.99,25
3144,3144,Monica,green,premium,14.33,21.77,26
3145,3145,Pietro,green,long,11.76,31.71,8
3146,3146,Pietro,green,long,11.42,25.45,58
3147,3147,Pietro,green,onion,21.43,16.7,37
3148,3148,Pietro,green,long,12.46,26.15,52
3149,3149,Romeo,green,premium,13.89,21.53,39
3150,3150,Pietro,green,onion,16.99,17.09,35
3151,3151,Romeo,green,long,12.65,32.52,0
3152,3152,Pietro,green,long,10.82,29.7,55
3153,3153,Pietro,yellow,long,10.7,32.78,5
3154,3154,Pietro,blue,long,12.33,32.43,28
3155,3155,Romeo,blue,premium,14.82,21.91,18
3156,3156,Romeo,yellow,premium,13.99,21.52,22
3157,3157,Monica,yellow,artistic,6.23,21.44,21
3158,3158,Romeo,yellow,long,11.73,31.18,16
3159,3159,Pietro,blue,long,12.7,23.67,13
3160,3160,Pietro,green,premium,14.33,21.45,9
3161,3161,Pietro,green,long,10.17,29.0,39
3162,3162,Pietro,green,long,12.23,33.1,38
3163,3163,Romeo,green,premium,14.36,22.04,21
3164,3164,Pietro,green,long,12.47,28.78,27
3165,3165,Monica,green,artistic,9.55,20.94,17
3166,3166,Monica,blue,artistic,13.22,15.75,28
3167,3167,Monica,green,artistic,12.9,20.97,18
3168,3168,Monica,green,onion,19.93,14.92,58
3169,3169,Pietro,blue,long,11.36,30.04,4
3170,3170,Pietro,green,long,12.81,26.37,20
3171,3171,Pietro,blue,long,11.13,36.46,40
3172,3172,Pietro,green,onion,20.3,14.1,52
3173,3173,Monica,green,long,13.03,28.21,4
3174,3174,Monica,green,onion,22.27,18.38,23
3175,3175,Pietro,green,long,11.0,30.62,55
3176,3176,Romeo,green,premium,13.79,22.71,27
3177,3177,Pietro,blue,onion,21.16,15.0,21
3178,3178,Monica,blue,onion,19.13,16.06,4
3179,3179,Romeo,green,artistic,19.39,20.21,4
3180,3180,Monica,blue,artistic,7.85,19.01,34
3181,3181,Romeo,yellow,long,11.43,24.42,31
3182,3182,Romeo,yellow,premium,14.14,22.88,14
3183,3183,Romeo,green,premium,13.92,21.3,32
3184,3184,Romeo,green,premium,13.76,21.83,10
3185,3185,Monica,green,long,12.7,28.9,5
3186,3186,Pietro,green,long,11.25,34.55,25
3187,3187,Romeo,green,premium,13.55,22.45,48
3188,3188,Romeo,green,premium,14.86,21.87,27
3189,3189,Romeo,green,premium,13.23,23.05,23
3190,3190,Monica,green,premium,13.58,22.29,38
3191,3191,Monica,green,artistic,7.87,12.85,21
3192,3192,Romeo,green,premium,14.62,21.74,21
3193,3193,Romeo,green,long,12.71,27.49,13
3194,3194,Monica,green,onion,17.36,14.87,51
3195,3195,Monica,green,artistic,9.54,15.9,10
3196,3196,Monica,green,premium,13.9,21.28,48
3197,3197,Pietro,blue,long,11.6,31.84,11
3198,3198,Pietro,green,long,11.26,30.82,13
3199,3199,Pietro,green,onion,20.47,17.55,56
3200,3200,Romeo,green,artistic,2.95,27.51,10
3201,3201,Pietro,green,onion,21.29,14.25,22
3202,3202,Romeo,green,long,11.2,32.47,15
3203,3203,Pietro,green,onion,18.38,16.11,22
3204,3204,Pietro,blue,long,13.68,26.76,45
3205,3205,Pietro,green,long,12.57,30.48,59
3206,3206,Monica,green,premium,13.82,22.1,47
3207,3207,Romeo,blue,long,11.36,27.0,33
3208,3208,Pietro,green,long,10.8,26.65,32
3209,3209,Monica,yellow,premium,14.06,22.53,0
3210,3210,Monica,green,long,12.06,30.27,51
3211,3211,Romeo,green,premium,14.32,22.64,5
3212,3212,Romeo,green,artistic,12.38,20.9,46
3213,3213,Romeo,green,premium,14.14,22.54,31
3214,3214,Monica,green,premium,13.64,22.27,37
3215,3215,Pietro,blue,long,13.0,32.94,41
3216,3216,Pietro,green,onion,22.72,12.02,31
3217,3217,Monica,green,onion,21.83,15.08,33
3218,3218,Monica,green,long,10.58,30.3,9
3219,3219,Romeo,green,premium,13.73,21.66,9
3220,3220,Romeo,green,premium,13.29,22.59,57
3221,3221,Monica,blue,artistic,5.5,21.54,12
3222,3222,Pietro,blue,long,11.44,32.37,28
3223,3223,Monica,green,premium,13.78,22.09,27
3224,3224,Pietro,blue,long,12.47,34.72,6
3225,3225,Pietro,green,long,10.8,27.13,7
3226,3226,Pietro,green,long,13.46,29.9,4
3227,3227,Monica,green,onion,20.92,17.73,19
3228,3228,Romeo,green,long,12.64,26.7,7
3229,3229,Romeo,green,long,10.6,30.57,40
3230,3230,Romeo,blue,premium,13.61,22.28,55
3231,3231,Monica,blue,long,10.87,33.52,37
3232,3232,Pietro,green,long,12.84,32.03,14
3233,3233,Pietro,green,long,12.81,27.81,32
3234,3234,Romeo,blue,premium,13.65,22.24,0
3235,3235,Pietro,green,onion,20.72,17.87,45
3236,3236,Monica,green,artistic,11.6,22.84,29
3237,3237,Monica,green,artistic,15.17,24.75,28
3238,3238,Monica,green,premium,14.11,21.81,17
3239,3239,Pietro,green,long,10.69,28.83,9
3240,3240,Pietro,green,premium,14.09,22.27,27
3241,3241,Romeo,green,long,12.56,34.08,5
3242,3242,Monica,blue,onion,20.0,14.49,38
3243,3243,Romeo,blue,long,11.67,33.13,59
3244,3244,Monica,blue,artistic,17.24,15.87,28
3245,3245,Romeo,green,premium,13.86,23.08,20
3246,3246,Pietro,green,long,11.49,27.17,2
3247,3247,Pietro,green,onion,17.66,14.59,15
3248,3248,Monica,yellow,artistic,10.54,16.03,6
3249,3249,Monica,green,long,12.55,28.8,0
3250,3250,Romeo,green,premium,14.41,21.86,12
3251,3251,Romeo,green,premium,14.29,22.43,5
3252,3252,Pietro,green,long,10.95,32.43,58
3253,3253,Pietro,green,long,11.48,31.8,48
3254,3254,Pietro,green,long,13.54,30.47,39
3255,3255,Romeo,green,premium,14.14,21.27,49
3256,3256,Monica,green,onion,22.25,14.52,4
3257,3257,Romeo,green,long,11.67,28.36,34
3258,3258,Pietro,green,onion,17.37,14.14,42
3259,3259,Monica,green,onion,23.14,16.56,42
3260,3260,Pietro,green,long,11.71,33.63,38
3261,3261,Pietro,green,long,11.99,27.29,13
3262,3262,Pietro,green,long,10.19,36.82,11
3263,3263,Romeo,green,artistic,8.08,15.56,0
3264,3264,Romeo,green,long,12.99,26.72,51
3265,3265,Romeo,green,premium,14.32,22.4,34
3266,3266,Monica,blue,premium,13.95,21.09,22
3267,3267,Romeo,green,premium,14.1,22.07,17
3268,3268,Romeo,green,artistic,15.11,28.2,17
3269,3269,Romeo,green,long,10.78,28.64,18
3270,3270,Pietro,green,long,11.34,31.06,24
3271,3271,Monica,green,long,10.98,31.82,17
3272,3272,Monica,green,premium,13.7,21.65,25
3273,3273,Monica,green,onion,17.36,15.27,16
3274,3274,Pietro,yellow,long,12.87,32.04,38
3275,3275,Pietro,green,long,12.41,30.58,16
3276,3276,Pietro,green,onion,17.93,15.72,34
3277,3277,Monica,yellow,long,12.94,28.42,52
3278,3278,Pietro,green,long,10.95,31.38,31
3279,3279,Romeo,green,artistic,11.43,16.97,37
3280,3280,Romeo,green,onion,18.54,19.88,23
3281,3281,Romeo,green,artistic,21.43,10.58,49
3282,3282,Monica,green,artistic,7.38,30.46,8
3283,3283,Romeo,green,long,11.52,30.58,6
3284,3284,Pietro,blue,long,10.29,32.43,49
3285,3285,Pietro,green,premium,13.39,21.96,29
3286,3286,Romeo,green,premium,14.32,21.93,54
3287,3287,Monica,yellow,artistic,10.96,19.84,52
3288,3288,Monica,green,premium,14.01,22.36,8
3289,3289,Monica,yellow,onion,19.38,18.48,21
3290,3290,Romeo,green,premium,14.58,23.05,55
3291,3291,Pietro,green,long,12.02,28.38,58
3292,3292,Pietro,green,onion,17.96,14.41,36
3293,3293,Romeo,blue,artistic,11.14,13.41,11
3294,3294,Pietro,blue,long,13.2,27.04,13
3295,3295,Pietro,green,premium,13.5,21.7,56
3296,3296,Pietro,green,long,12.48,26.46,38
3297,3297,Pietro,green,long,10.25,34.86,38
3298,3298,Romeo,yellow,onion,17.97,15.59,6
3299,3299,Monica,green,artistic,10.07,10.52,7
3300,3300,Pietro,green,long,12.54,29.16,12
3301,3301,Monica,green,artistic,11.43,18.94,46
3302,3302,Romeo,green,premium,14.12,21.48,59
3303,3303,Pietro,green,onion,19.92,14.92,22
3304,3304,Pietro,yellow,long,11.19,32.01,38
3305,3305,Pietro,green,long,10.63,30.19,41
3306,3306,Romeo,green,premium,13.58,22.39,4
3307,3307,Monica,green,long,11.52,28.92,33
3308,3308,Romeo,green,premium,13.57,22.01,24
3309,3309,Romeo,green,long,11.17,29.96,3
3310,3310,Romeo,green,premium,14.07,22.14,29
3311,3311,Monica,green,long,11.96,32.22,18
3312,3312,Pietro,green,long,11.53,35.55,14
3313,3313,Pietro,green,long,12.66,23.19,18
3314,3314,Pietro,yellow,premium,14.17,22.26,24
3315,3315,Pietro,green,long,11.46,32.47,44
3316,3316,Monica,green,long,12.53,24.6,0
3317,3317,Pietro,green,long,10.29,32.81,20
3318,3318,Monica,green,premium,13.99,21.26,49
3319,3319,Romeo,green,long,12.06,31.24,41
3320,3320,Monica,blue,premium,14.2,21.61,4
3321,3321,Monica,green,long,11.86,29.79,5
3322,3322,Monica,blue,onion,21.48,16.97,0
3323,3323,Romeo,blue,premium,14.44,21.74,40
3324,3324,Pietro,green,long,12.5,30.96,41
3325,3325,Pietro,green,long,10.76,25.1,16
3326,3326,Pietro,green,long,11.69,30.27,13
3327,3327,Romeo,green,long,10.9,34.46,50
3328,3328,Monica,green,artistic,13.69,9.88,24
3329,3329,Romeo,blue,long,12.12,29.73,10
3330,3330,Pietro,green,long,12.67,27.12,54
3331,3331,Romeo,blue,artistic,12.83,15.37,12
3332,3332,Romeo,green,long,13.47,20.24,25
3333,3333,Pietro,yellow,long,12.88,33.38,24
3334,3334,Monica,blue,long,12.84,31.39,12
3335,3335,Pietro,blue,long,12.43,29.78,24
3336,3336,Pietro,blue,premium,15.06,22.26,18
3337,3337,Romeo,blue,premium,14.23,22.78,19
3338,3338,Pietro,green,long,11.66,35.5,48
3339,3339,Romeo,green,artistic,3.43,18.63,8
3340,3340,Pietro,green,onion,21.72,14.79,51
3341,3341,Monica,green,artistic,9.1,22.28,26
3342,3342,Pietro,green,long,11.12,30.45,56
3343,3343,Pietro,green,long,12.0,25.89,50
3344,3344,Monica,green,artistic,16.64,25.19,22
3345,3345,Pietro,blue,onion,22.1,14.11,30
3346,3346,Romeo,blue,long,11.38,32.95,39
3347,3347,Pietro,blue,long,10.96,31.8,53
3348,3348,Monica,green,onion,19.33,15.66,8
3349,3349,Romeo,green,premium,14.81,22.24,15
3350,3350,Pietro,yellow,long,11.25,26.87,17
3351,3351,Pietro,green,long,9.08,29.89,45
3352,3352,Pietro,green,long,13.37,33.08,5
3353,3353,Pietro,blue,long,12.53,25.47,39
3354,3354,Pietro,green,long,12.55,33.67,29
3355,3355,Romeo,green,long,11.1,27.73,14
3356,3356,Romeo,green,premium,13.34,21.75,44
3357,3357,Pietro,yellow,long,12.76,30.76,10
3358,3358,Romeo,green,premium,14.18,21.85,56
3359,3359,Monica,green,long,9.97,32.1,39
3360,3360,Pietro,green,onion,17.25,12.51,57
3361,3361,Pietro,blue,long,11.58,28.78,28
3362,3362,Monica,green,artistic,12.48,20.92,5
3363,3363,Pietro,green,long,11.75,28.83,32
3364,3364,Pietro,blue,long,11.37,27.88,11
3365,3365,Pietro,green,long,12.8,27.69,35
3366,3366,Pietro,green,long,11.39,34.64,7
3367,3367,Romeo,green,long,13.68,24.92,41
3368,3368,Romeo,green,premium,14.37,21.5,5
3369,3369,Monica,green,premium,14.7,22.21,3
3370,3370,Pietro,green,onion,16.97,14.86,54
3371,3371,Romeo,blue,premium,13.63,22.29,11
3372,3372,Romeo,green,premium,13.63,21.47,47
3373,3373,Pietro,green,long,11.06,32.4,19
3374,3374,Pietro,green,long,12.3,26.97,28
3375,3375,Pietro,blue,long,12.39,27.88,43
3376,3376,Pietro,blue,long,12.31,31.34,56
3377,3377,Pietro,blue,long,10.47,31.52,3
3378,3378,Pietro,blue,long,11.3,24.25,59
3379,3379,Pietro,green,long,13.43,30.64,54
3380,3380,Romeo,green,long,10.31,28.35,38
3381,3381,Romeo,green,premium,13.61,21.69,24
3382,3382,Pietro,green,long,11.79,32.27,48
3383,3383,Romeo,blue,premium,14.01,22.61,49
3384,3384,Pietro,blue,onion,18.38,19.32,27
3385,3385,Pietro,green,long,11.41,26.17,3
3386,3386,Romeo,blue,premium,14.08,22.01,13
3387,3387,Pietro,green,long,11.27,23.82,23
3388,3388,Monica,green,long,9.95,32.51,22
3389,3389,Monica,blue,long,11.38,29.13,36
3390,3390,Romeo,blue,premium,14.65,21.89,57
3391,3391,Pietro,green,long,12.62,29.69,56
3392,3392,Romeo,blue,artistic,5.68,17.76,53
3393,3393,Romeo,green,premium,13.9,22.23,16
3394,3394,Monica,green,artistic,15.49,23.46,1
3395,3395,Monica,yellow,artistic,11.61,19.84,3
3396,3396,Monica,green,onion,22.1,16.59,31
3397,3397,Pietro,green,long,10.93,31.48,7
3398,3398,Monica,green,long,12.5,27.22,32
3399,3399,Monica,blue,premium,14.9,22.21,59
3400,3400,Pietro,yellow,premium,13.96,22.5,55
3401,3401,Pietro,green,premium,14.82,22.48,51
3402,3402,Romeo,yellow,premium,14.35,21.77,21
3403,3403,Romeo,green,onion,18.76,16.07,22
3404,3404,Romeo,blue,premium,14.41,22.79,20
3405,3405,Romeo,green,premium,13.69,21.42,26
3406,3406,Pietro,green,long,12.27,26.51,54
3407,3407,Romeo,green,premium,14.18,22.11,10
3408,3408,Pietro,green,long,11.9,29.06,7
3409,3409,Pietro,yellow,long,13.73,30.2,35
3410,3410,Romeo,green,long,12.56,24.75,52
3411,3411,Pietro,yellow,long,11.44,26.49,25
3412,3412,Pietro,green,long,13.16,33.9,0
3413,3413,Pietro,blue,long,11.59,30.14,56
3414,3414,Pietro,yellow,long,11.25,31.1,9
3415,3415,Romeo,green,long,13.64,32.81,38
3416,3416,Pietro,green,long,12.42,24.85,17
3417,3417,Monica,green,artistic,6.38,17.58,31
3418,3418,Pietro,yellow,long,11.19,28.9,18
3419,3419,Romeo,blue,long,11.91,23.95,50
3420,3420,Romeo,yellow,premium,13.61,21.65,22
3421,3421,Romeo,green,long,10.07,39.32,23
3422,3422,Monica,blue,premium,13.89,22.01,57
3423,3423,Romeo,blue,onion,19.42,17.1,44
3424,3424,Romeo,green,premium,14.74,22.28,24
3425,3425,Monica,green,onion,21.27,13.11,19
3426,3426,Pietro,green,long,11.61,32.56,10
3427,3427,Pietro,green,long,12.76,26.13,35
3428,3428,Pietro,green,long,14.03,26.86,51
3429,3429,Pietro,blue,long,12.16,25.36,23
3430,3430,Romeo,green,premium,14.26,22.38,45
3431,3431,Romeo,green,premium,13.85,22.39,36
3432,3432,Pietro,green,long,11.4,35.06,23
3433,3433,Monica,yellow,onion,23.09,11.13,8
3434,3434,Monica,green,artistic,6.83,15.31,20
3435,3435,Monica,green,artistic,7.74,23.31,57
3436,3436,Monica,green,artistic,18.52,26.56,9
3437,3437,Pietro,yellow,onion,19.83,15.91,19
3438,3438,Romeo,blue,onion,20.3,15.17,39
3439,3439,Monica,green,premium,14.62,23.1,22
3440,3440,Monica,blue,artistic,14.51,24.78,48
3441,3441,Romeo,yellow,artistic,14.96,13.49,23
3442,3442,Pietro,green,long,12.9,27.17,0
3443,3443,Monica,green,artistic,12.18,19.96,50
3444,3444,Romeo,green,long,10.55,31.07,43
3445,3445,Monica,yellow,artistic,7.91,21.85,45
3446,3446,Monica,green,premium,14.53,22.01,15
3447,3447,Pietro,green,long,12.51,30.49,6
3448,3448,Pietro,green,long,12.23,27.49,31
3449,3449,Pietro,green,long,12.92,28.8,58
3450,3450,Pietro,green,long,12.34,29.14,5
3451,3451,Pietro,green,long,13.0,28.46,52
3452,3452,Monica,green,long,11.33,28.84,32
3453,3453,Pietro,green,long,11.66,32.02,0
3454,3454,Monica,green,premium,14.44,22.43,16
3455,3455,Romeo,green,premium,13.79,22.06,9
3456,3456,Romeo,green,premium,13.93,22.59,29
3457,3457,Pietro,green,long,12.57,26.92,16
3458,3458,Monica,green,long,10.73,31.69,53
3459,3459,Romeo,green,artistic,14.38,21.35,25
3460,3460,Pietro,green,long,12.31,31.82,44
3461,3461,Monica,green,premium,13.44,20.8,59
3462,3462,Romeo,green,premium,13.68,22.54,5
3463,3463,Monica,green,artistic,8.81,16.4,59
3464,3464,Monica,green,artistic,14.01,19.75,40
3465,3465,Romeo,green,onion,21.74,14.82,16
3466,3466,Romeo,green,premium,14.03,21.78,10
3467,3467,Monica,green,artistic,9.19,15.63,30
3468,3468,Romeo,green,long,11.23,27.47,59
3469,3469,Monica,green,onion,19.32,14.26,6
3470,3470,Pietro,green,onion,22.76,15.02,56
3471,3471,Pietro,green,premium,14.92,22.29,58
